"Address","Word Count","Indexability","Indexability Status"
"https://www.onlinegamblingcanada.com/games/bingo","192","Indexable",""
"https://www.onlinegamblingcanada.com/games/blackjack","197","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/cazimbo-sport","148","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/draftkings-casino","155","Indexable",""
"https://www.onlinegamblingcanada.com/games/poker","193","Indexable",""
"https://www.onlinegamblingcanada.com/games/video-poker","199","Indexable",""
"https://www.onlinegamblingcanada.com/contact","61","Indexable",""
"https://www.onlinegamblingcanada.com/games/roulette","193","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/cazimbo-casino","173","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/campeonbet-sports","152","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/highroller-casino","160","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/campobet-sports","147","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/888casino","168","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/jackpotcity-casino","163","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/draftkings-sport","155","Indexable",""
"https://www.onlinegamblingcanada.com/about","163","Indexable",""
"https://www.onlinegamblingcanada.com/games","173","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/riseofbets-casino","155","Indexable",""
"https://www.onlinegamblingcanada.com/news/canada-s-online-poker-shows-steady-growth","126","Indexable",""
"https://www.onlinegamblingcanada.com/news/ontario-online-casino-handle-hits-89-as-sports-betting-slows","145","Indexable",""
"https://www.onlinegamblingcanada.com/news/top-canadian-sportsbooks-for-nfl-and-nhl","141","Indexable",""
"https://www.onlinegamblingcanada.com/news/esports-betting-in-canada-trend-or-fad","155","Indexable",""
"https://www.onlinegamblingcanada.com/news/canadian-online-casino-bonuses-2025-top-offers","156","Indexable",""
"https://www.onlinegamblingcanada.com/news/canada-sports-betting-slows-will-nfl-revive","179","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/betbeast-sport","146","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/bitkingz-casino","158","Indexable",""
"https://www.onlinegamblingcanada.com/reviews/888-poker-ontario","162","Indexable",""
"https://www.onlinegamblingcanada.com/news/ontario-exclusive-slots-worth-playing","148","Indexable",""
"https://www.onlinegamblingcanada.com/news/rise-of-live-dealer-games-in-canada","148","Indexable",""
